provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad,precio_m2_cubierto_medio_prov
Zona Sur (GBA),"Quilmes, GBA Sur",4,833.3333333333334,6.298654649947753,18.825498964718964
Zona Sur (GBA),"Quilmes, GBA Sur",2,315.0,7.531245988446726,18.825498964718964
Zona Sur (GBA),"Quilmes, GBA Sur",1,350.0,6.481481481481482,18.825498964718964
Zona Sur (GBA),"Quilmes, Quilmes",5,1440.0,5.115958630077859,18.825498964718964
Zona Sur (GBA),"Quilmes, Quilmes",2,361.7647058823529,26.350649021103806,18.825498964718964
Zona Sur (GBA),"Quilmes, Quilmes",4,1077.7777777777778,9.685504705947785,18.825498964718964
Zona Sur (GBA),"Quilmes, Quilmes",3,546.3636363636364,68.05581756674404,18.825498964718964
Zona Sur (GBA),"Quilmes, Quilmes",1,230.0,8.64872325741891,18.825498964718964
Mendoza,"Quinta Sección, Ciudad de Mendoza",6,950.0,3.0184887459807075,10.768814648394969
Mendoza,"Quinta Sección, Ciudad de Mendoza",3,580.0,6.3967130877508245,10.768814648394969
Mendoza,"Quinta Sección, Ciudad de Mendoza",5,870.0,5.526978531326358,10.768814648394969
Mendoza,"Quinta Sección, Ciudad de Mendoza",2,447.0,9.509545454545455,10.768814648394969
Mendoza,"Quinta Sección, Ciudad de Mendoza",4,362.5,5.563942307692308,10.768814648394969
Mendoza,"Quinta Sección, Ciudad de Mendoza",7,1000.0,7.142857142857143,10.768814648394969
Mendoza,"Quinta Sección, Ciudad de Mendoza",1,300.0,8.571428571428571,10.768814648394969
Zona Oeste (GBA),"Ramos Mejía, La Matanza",3,499.5348837209302,8.252599293929363,18.996720884600585
Zona Oeste (GBA),"Ramos Mejía, La Matanza",2,366.89130434782606,11.934981584401692,18.996720884600585
Zona Oeste (GBA),"Ramos Mejía, La Matanza",4,1959.6190476190477,15.802197799303062,18.996720884600585
Zona Oeste (GBA),"Ramos Mejía, La Matanza",5,1683.3333333333333,7.891992474782329,18.996720884600585
Zona Oeste (GBA),"Ramos Mejía, La Matanza",1,221.08695652173913,7.785360435347246,18.996720884600585
Zona Sur (GBA),"Ranelagh, Berazategui",3,866.6666666666666,6.370971963694412,18.825498964718964
Zona Sur (GBA),"Ranelagh, Berazategui",2,300.0,8.08994708994709,18.825498964718964
Zona Sur (GBA),"Ranelagh, Berazategui",4,850.0,4.644808743169399,18.825498964718964
Zona Sur (GBA),"Remedios de Escalada, Lanús",3,409.375,49.22679219141829,18.825498964718964
Zona Sur (GBA),"Remedios de Escalada, Lanús",4,530.0,6.971264367816092,18.825498964718964
Zona Sur (GBA),"Remedios de Escalada, Lanús",2,310.4761904761905,19.35675704600191,18.825498964718964
Zona Sur (GBA),"Remedios de Escalada, Lanús",1,277.14285714285717,8.585644514215943,18.825498964718964
Zona Norte (GBA),"Remeros Beach, Rincón de Milberg",3,1022.2222222222222,14.46389358423,12.133321183116772
Zona Norte (GBA),"Remeros Beach, Rincón de Milberg",2,806.6666666666666,16.84347712746945,12.133321183116772
Zona Norte (GBA),"Remeros Beach, Rincón de Milberg",1,725.0,17.581943645773432,12.133321183116772
Santa Fe,"República de la Sexta, Rosario",1,143.8421052631579,4.877093576620752,8.711410816835214
Santa Fe,"República de la Sexta, Rosario",2,191.875,5.3322347502035,8.711410816835214
Santa Fe,"República de la Sexta, Rosario",3,223.33333333333334,3.668088278888239,8.711410816835214
Santa Fe,"República de la Sexta, Rosario",5,250.0,5.0,8.711410816835214
Santa Fe,"República de la Sexta, Rosario",4,315.0,5.724925521350546,8.711410816835214
Chaco,"Resistencia, Chaco",1,205.0,6.555776397515528,15.564073703725567
Chaco,"Resistencia, Chaco",2,191.25,4.658527327935222,15.564073703725567
Chaco,"Resistencia, Chaco",3,385.0,4.378621378621379,15.564073703725567
Chaco,"Resistencia, Chaco",4,441.0,5.653204310043862,15.564073703725567
Zona Norte (GBA),"Riberas, El Cazador",5,1533.3333333333333,8.356640393253665,12.133321183116772
Zona Norte (GBA),"Riberas, El Cazador",7,1550.0,7.663830534849284,12.133321183116772
Zona Norte (GBA),"Riberas, El Cazador",4,1500.0,7.246376811594203,12.133321183116772
Zona Norte (GBA),"Rincón de Milberg, Tigre",8,4000.0,7.155635062611807,12.133321183116772
